id,company_name,channel,contact_email,status,reason,jurisdiction,lead_id,evaluated_at
299,Riverside County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Riverside County municipal docket sweep,"Riverside County, CA",DISC-CA-RIV-101,2026-09-17T00:22:41.155960+00:00
296,Orange County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Orange County, CA",JUR-CA-ORANGE-COUNTY,2026-09-17T00:22:36.202328+00:00
297,Orange County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Orange County municipal docket sweep,"Orange County, CA",DISC-CA-ORA-101,2026-09-17T00:22:36.202328+00:00
294,Los Angeles County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Los Angeles County, CA",JUR-CA-LOS-ANGELES-COUNTY,2026-09-16T22:35:15.917320+00:00
295,Los Angeles County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Los Angeles County municipal docket sweep,"Los Angeles County, CA",DISC-CA-LOS-101,2026-09-16T22:35:15.917320+00:00
292,Kern County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Kern County, CA",JUR-CA-KERN-COUNTY,2026-09-16T22:35:10.806294+00:00
293,Kern County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Kern County municipal docket sweep,"Kern County, CA",DISC-CA-KER-101,2026-09-16T22:35:10.806294+00:00
290,Fresno County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Fresno County, CA",JUR-CA-FRESNO-COUNTY,2026-09-16T22:35:05.544982+00:00
291,Fresno County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Fresno County municipal docket sweep,"Fresno County, CA",DISC-CA-FRE-101,2026-09-16T22:35:05.544982+00:00
288,Alameda County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Alameda County, CA",JUR-CA-ALAMEDA-COUNTY,2026-09-16T21:04:37.041863+00:00
289,Alameda County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Alameda County municipal docket sweep,"Alameda County, CA",DISC-CA-ALA-101,2026-09-16T21:04:37.041863+00:00
286,Sarasota County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Sarasota County, FL",JUR-FL-SARASOTA-COUNTY,2026-09-16T21:04:32.058905+00:00
287,Sarasota County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Sarasota County municipal docket sweep,"Sarasota County, FL",DISC-FL-SAR-101,2026-09-16T21:04:32.058905+00:00
284,Pinellas County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Pinellas County, FL",JUR-FL-PINELLAS-COUNTY,2026-09-16T21:04:27.124410+00:00
285,Pinellas County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Pinellas County municipal docket sweep,"Pinellas County, FL",DISC-FL-PIN-101,2026-09-16T21:04:27.124410+00:00
282,Palm Beach County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Palm Beach County, FL",JUR-FL-PALM-BEACH-COUNTY,2026-09-16T20:51:28.922277+00:00
283,Palm Beach County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Palm Beach County municipal docket sweep,"Palm Beach County, FL",DISC-FL-PAL-101,2026-09-16T20:51:28.922277+00:00
280,Orange County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Orange County, FL",JUR-FL-ORANGE-COUNTY,2026-09-16T20:51:23.966960+00:00
281,Orange County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Orange County municipal docket sweep,"Orange County, FL",DISC-FL-ORA-101,2026-09-16T20:51:23.966960+00:00
278,Miami-Dade County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Miami-Dade County, FL",JUR-FL-MIAMI-DADE-COUNTY,2026-09-16T20:51:19.020096+00:00
279,Miami-Dade County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Miami-Dade County municipal docket sweep,"Miami-Dade County, FL",DISC-FL-MIA-101,2026-09-16T20:51:19.020096+00:00
414,Statewide Primary County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 1 visits logged, 13 candidate leads evaluated","Statewide Primary County, MO",JUR-MO-STATEWIDE-PRIMARY-COUNTY,2026-09-16T19:01:46.031455+00:00
415,Statewide Primary County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-101,2026-09-16T19:01:46.031455+00:00
416,Statewide Primary County Commercial Lead #2,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-102,2026-09-16T19:01:46.031455+00:00
417,Statewide Primary County Commercial Lead #3,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-103,2026-09-16T19:01:46.031455+00:00
418,Statewide Primary County Commercial Lead #4,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-104,2026-09-16T19:01:46.031455+00:00
419,Statewide Primary County Commercial Lead #5,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-105,2026-09-16T19:01:46.031455+00:00
420,Statewide Primary County Commercial Lead #6,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-106,2026-09-16T19:01:46.031455+00:00
421,Statewide Primary County Commercial Lead #7,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-107,2026-09-16T19:01:46.031455+00:00
422,Statewide Primary County Commercial Lead #8,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-108,2026-09-16T19:01:46.031455+00:00
423,Statewide Primary County Commercial Lead #9,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-109,2026-09-16T19:01:46.031455+00:00
424,Statewide Primary County Commercial Lead #10,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-110,2026-09-16T19:01:46.031455+00:00
425,Statewide Primary County Commercial Lead #11,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-111,2026-09-16T19:01:46.031455+00:00
426,Statewide Primary County Commercial Lead #12,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-112,2026-09-16T19:01:46.031455+00:00
427,Statewide Primary County Commercial Lead #13,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, MO",DISC-MO-STA-113,2026-09-16T19:01:46.031455+00:00
277,Leon County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Leon County, FL",JUR-FL-LEON-COUNTY,2026-09-16T19:01:28.800926+00:00
266,Lee County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Lee County, FL",JUR-FL-LEE-COUNTY,2026-09-16T19:00:45.501207+00:00
265,Hillsborough County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Hillsborough County, FL",JUR-FL-HILLSBOROUGH-COUNTY,2026-09-16T19:00:34.839719+00:00
264,Duval County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Duval County, FL",JUR-FL-DUVAL-COUNTY,2026-09-16T19:00:12.522585+00:00
263,Collier County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Collier County, FL",JUR-FL-COLLIER-COUNTY,2026-09-16T18:59:48.145199+00:00
541,Statewide Primary County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 1 visits logged, 7 candidate leads evaluated","Statewide Primary County, AZ",JUR-AZ-STATEWIDE-PRIMARY-COUNTY,2026-09-16T18:59:48.141199+00:00
542,Statewide Primary County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, AZ",DISC-AZ-STA-101,2026-09-16T18:59:48.141199+00:00
543,Statewide Primary County Commercial Lead #2,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, AZ",DISC-AZ-STA-102,2026-09-16T18:59:48.141199+00:00
544,Statewide Primary County Commercial Lead #3,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, AZ",DISC-AZ-STA-103,2026-09-16T18:59:48.141199+00:00
545,Statewide Primary County Commercial Lead #4,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, AZ",DISC-AZ-STA-104,2026-09-16T18:59:48.141199+00:00
546,Statewide Primary County Commercial Lead #5,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, AZ",DISC-AZ-STA-105,2026-09-16T18:59:48.141199+00:00
547,Statewide Primary County Commercial Lead #6,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, AZ",DISC-AZ-STA-106,2026-09-16T18:59:48.141199+00:00
548,Statewide Primary County Commercial Lead #7,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, AZ",DISC-AZ-STA-107,2026-09-16T18:59:48.141199+00:00
262,Broward County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Broward County, FL",JUR-FL-BROWARD-COUNTY,2026-09-16T18:59:21.456764+00:00
261,Alachua County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Alachua County, FL",JUR-FL-ALACHUA-COUNTY,2026-09-16T18:58:34.765223+00:00
250,Williamson County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Williamson County, TX",JUR-TX-WILLIAMSON-COUNTY,2026-09-16T18:58:02.231876+00:00
249,Webb County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Webb County, TX",JUR-TX-WEBB-COUNTY,2026-09-16T18:57:23.331753+00:00
248,Travis County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Travis County, TX",JUR-TX-TRAVIS-COUNTY,2026-09-16T18:56:32.872499+00:00
247,Tarrant County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Tarrant County, TX",JUR-TX-TARRANT-COUNTY,2026-09-16T18:56:04.358069+00:00
246,Potter County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Potter County, TX",JUR-TX-POTTER-COUNTY,2026-09-16T18:55:15.894631+00:00
534,Statewide Primary County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 1 visits logged, 6 candidate leads evaluated","Statewide Primary County, GA",JUR-GA-STATEWIDE-PRIMARY-COUNTY,2026-09-16T18:55:15.891635+00:00
535,Statewide Primary County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, GA",DISC-GA-STA-101,2026-09-16T18:55:15.891635+00:00
536,Statewide Primary County Commercial Lead #2,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, GA",DISC-GA-STA-102,2026-09-16T18:55:15.891635+00:00
537,Statewide Primary County Commercial Lead #3,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, GA",DISC-GA-STA-103,2026-09-16T18:55:15.891635+00:00
538,Statewide Primary County Commercial Lead #4,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, GA",DISC-GA-STA-104,2026-09-16T18:55:15.891635+00:00
539,Statewide Primary County Commercial Lead #5,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, GA",DISC-GA-STA-105,2026-09-16T18:55:15.891635+00:00
540,Statewide Primary County Commercial Lead #6,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, GA",DISC-GA-STA-106,2026-09-16T18:55:15.891635+00:00
245,Nueces County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Nueces County, TX",JUR-TX-NUECES-COUNTY,2026-09-16T18:54:50.899782+00:00
244,Montgomery County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Montgomery County, TX",JUR-TX-MONTGOMERY-COUNTY,2026-09-16T18:54:08.370877+00:00
243,Lubbock County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Lubbock County, TX",JUR-TX-LUBBOCK-COUNTY,2026-09-16T18:53:41.503868+00:00
242,Harris County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Harris County, TX",JUR-TX-HARRIS-COUNTY,2026-09-16T18:52:45.179621+00:00
232,Fort Bend County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Fort Bend County, TX",JUR-TX-FORT-BEND-COUNTY,2026-09-16T18:52:00.461008+00:00
231,El Paso County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","El Paso County, TX",JUR-TX-EL-PASO-COUNTY,2026-09-16T18:50:57.570127+00:00
527,Statewide Primary County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 1 visits logged, 6 candidate leads evaluated","Statewide Primary County, IL",JUR-IL-STATEWIDE-PRIMARY-COUNTY,2026-09-16T18:50:57.567126+00:00
528,Statewide Primary County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, IL",DISC-IL-STA-101,2026-09-16T18:50:57.567126+00:00
529,Statewide Primary County Commercial Lead #2,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, IL",DISC-IL-STA-102,2026-09-16T18:50:57.567126+00:00
530,Statewide Primary County Commercial Lead #3,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, IL",DISC-IL-STA-103,2026-09-16T18:50:57.567126+00:00
531,Statewide Primary County Commercial Lead #4,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, IL",DISC-IL-STA-104,2026-09-16T18:50:57.567126+00:00
532,Statewide Primary County Commercial Lead #5,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, IL",DISC-IL-STA-105,2026-09-16T18:50:57.567126+00:00
533,Statewide Primary County Commercial Lead #6,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, IL",DISC-IL-STA-106,2026-09-16T18:50:57.567126+00:00
230,Denton County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Denton County, TX",JUR-TX-DENTON-COUNTY,2026-09-16T18:50:06.320957+00:00
229,Dallas County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Dallas County, TX",JUR-TX-DALLAS-COUNTY,2026-09-16T18:49:24.071599+00:00
228,Collin County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Collin County, TX",JUR-TX-COLLIN-COUNTY,2026-09-16T18:48:56.318109+00:00
227,Bexar County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Bexar County, TX",JUR-TX-BEXAR-COUNTY,2026-09-16T18:48:11.843666+00:00
2,Great American Title Agency,County Court Dockets & Filing Parties,info@azgat.com,VETTED (ARCHIVED),"Passed all scout qualification, MX deliverability, and commercial legitimacy checks","Reno, Washoe County, NV",,2026-09-16T18:47:42.410187+00:00
226,Yakima County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Yakima County, WA",JUR-WA-YAKIMA-COUNTY,2026-09-16T18:47:40.888808+00:00
225,Whitman County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Whitman County, WA",JUR-WA-WHITMAN-COUNTY,2026-09-16T18:47:33.486296+00:00
368,Washoe County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 9 candidate leads evaluated","Washoe County, NV",JUR-NV-WASHOE-COUNTY,2026-09-16T18:47:33.482296+00:00
369,Washoe County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-101,2026-09-16T18:47:33.482296+00:00
370,Washoe County Commercial Lead #2,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-102,2026-09-16T18:47:33.482296+00:00
371,Washoe County Commercial Lead #3,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-103,2026-09-16T18:47:33.482296+00:00
372,Washoe County Commercial Lead #4,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-104,2026-09-16T18:47:33.482296+00:00
373,Washoe County Commercial Lead #5,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-105,2026-09-16T18:47:33.482296+00:00
374,Washoe County Commercial Lead #6,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-106,2026-09-16T18:47:33.482296+00:00
375,Washoe County Commercial Lead #7,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-107,2026-09-16T18:47:33.482296+00:00
376,Washoe County Commercial Lead #8,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-108,2026-09-16T18:47:33.482296+00:00
377,Washoe County Commercial Lead #9,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Washoe County municipal docket sweep,"Washoe County, NV",DISC-NV-WAS-109,2026-09-16T18:47:33.482296+00:00
3,Top 20 Probate law firms based,County Court Dockets & Filing Parties,sales@revenuebase.ai,VETTED (ARCHIVED),"Passed all scout qualification, MX deliverability, and commercial legitimacy checks","Cincinnati, Hamilton County, OH",,2026-09-16T18:47:09.411177+00:00
214,Whatcom County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Whatcom County, WA",JUR-WA-WHATCOM-COUNTY,2026-09-16T18:47:09.008659+00:00
213,Walla Walla County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Walla Walla County, WA",JUR-WA-WALLA-WALLA-COUNTY,2026-09-16T18:46:50.467026+00:00
519,Statewide Primary County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 1 visits logged, 7 candidate leads evaluated","Statewide Primary County, WA",JUR-WA-STATEWIDE-PRIMARY-COUNTY,2026-09-16T18:46:50.463028+00:00
520,Statewide Primary County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, WA",DISC-WA-STA-101,2026-09-16T18:46:50.463028+00:00
521,Statewide Primary County Commercial Lead #2,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, WA",DISC-WA-STA-102,2026-09-16T18:46:50.463028+00:00
522,Statewide Primary County Commercial Lead #3,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Statewide Primary County municipal docket sweep,"Statewide Primary County, WA",DISC-WA-STA-103,2026-09-16T18:46:50.463028+00:00
